,Principal Component 1,Principal Component 2
74,-205.95135338897086,-54.80078228157136
75,-157.84014104602073,-52.3216169492089
76,-246.20720984270378,-59.22975551737726
77,-242.32752502008603,-60.01612958545961
78,-215.6679326928271,-52.242499298145816
79,-172.55030723473402,-40.86074114612587
80,-236.8269336633642,-58.682771924111314
81,-231.67944794363456,-59.89345434473699
82,-231.87886090039547,-59.38809213735368
83,-149.92370874922693,-44.625374402851456
84,-195.0926465764605,-52.41944996480688
85,-95.12084385862876,-37.86887232001948
86,-154.23611920775022,-56.73312896900576
87,-203.64111722940936,-54.78247741294539
88,-174.20745067299583,-58.02364874572792
89,-240.0906100794553,-51.72328084143732
90,-73.46388193569113,-37.94285717803452
91,44.4870112824065,-38.5414476373717
92,-224.01153684478876,-59.67795027459322
93,-166.4089573936991,-56.49644299688178
94,-240.78735136466275,-60.33032832717271
95,-242.60508327480613,-60.625996408821855
96,-245.49830115658318,-60.06581696337268
97,-152.14161869688846,-75.84965697024222
98,-121.0952623492803,-56.06354058268106
99,-198.5127479385894,-47.567367682657505
100,-208.08108555503009,-50.16968913596385
101,208.3870244557785,8.082614789990544
102,-174.73095062597778,-57.18127326731797
103,56.257396565233684,-26.137235707289815
104,-243.60752747057782,-60.326975236424374
105,-187.98645193046409,-45.083787783433486
106,-75.5342396384237,-37.02678751068497
107,-206.66635723281738,-63.71025282295291
108,-126.98563660866657,-23.22724464166226
109,-222.41577527039527,-58.21450453394819
110,-156.381338428095,-6.892020242120957
111,-51.67616474547767,-51.24749567341515
112,-185.8091039768261,-54.38237299479335
113,-110.55232608700962,-48.2630821776113
114,-163.13962488383976,-46.91725395401626
115,-201.51236105706187,-55.16797783257737
116,8.02694823319779,-49.67036624668464
117,-105.57574347016289,-56.62784435229945
118,58.94056157434411,-16.725679664772333
119,-80.05805494722406,-64.24705739918906
120,-227.35248953266105,-57.37801242433
121,320.73349000562854,5.791779868988365
122,281.90216205430073,179.89014093229866
123,-244.84205124423275,-59.33563887921038
124,-236.54564557313017,-58.31836493754795
125,552.4813179303499,162.68329097034027
126,-235.89410988490818,-36.221982606415054
127,3333.2202652782203,207.877480806551
128,-248.85028565946124,-58.37379527495108
129,-233.34409427106428,-60.809021984731146
130,-233.12855365905932,-60.82324214930167
131,-141.00194883189621,-47.07605224614719
132,-226.15645065130133,-58.00145375872352
133,-18.855183743688688,8.550253517426372
134,-173.53155363388524,-37.6423202104546
135,-213.3792113576304,-56.42595105384594
136,-160.4880408846541,-53.17796652922224
137,-188.92262472490006,-18.235276210649467
138,-243.03060394076925,-58.82435159785105
139,753.5413651381781,195.18611380199025
140,-141.33091153107452,-44.860776150432265
141,-79.59876752266462,-37.770614304736064
142,-194.06612055035032,-62.262376482424045
143,-231.37798072588663,-61.587411020800474
144,119.19271642865775,-2.2490727987621426
145,656.707013352897,96.17398986336268
146,63.50848176830415,-109.91221333825843
147,1032.4475533795212,-97.75711708610663
148,-244.05249384617153,-58.59134732049413
149,2.3412384697971427,-50.463237802633685
150,-158.49212333441002,-41.839677671367774
151,-51.62686154466992,-27.36099976131135
