,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73
Sample_11,0.4491685356319477,0.4503550834994809,0.4547186808224884,0.47448156690138366,0.5049755769660194,0.42011524925637067,0.5037027496965205,0.4862819691127737,0.4693648924673787,0.4628220062371001,1.0,0.9972280663377515,0.9988314311703888,0.42835411772040105,0.42574392729614213,0.4336622546796076,0.9790431487836192,0.9775166146077349,0.9871066097268484,0.19093296532319154,0.1866903255875154,0.18648057642483998,0.19174053207598096,0.19459022157144804,0.1935144811425024,0.4569256504996283,0.4718525072377551,0.4599928627668019,0.4243878386494137,0.002695330440355602,0.4299350516609217,0.48231706200104396,0.5037104081436611,0.5111139842953881,0.46011373446863996,0.4684829566516761,0.4605514637989247,0.897281173633068,0.8876871999319843,0.8847567788077703,0.8856405109127319,0.8778134766619257,0.8766086907792663,0.8967199543155243,0.8953677493700032,0.907445342958969,0.9298951441313544,0.9368481275813554,0.9332112229852554,0.8373575163854571,0.8428818868946459,0.8395291978615915,0.7173409906279866,0.7229310080857216,0.7334011741811582,0.7052517688990959,0.6945445565746604,0.6804077858334974,0.6964884292738702,0.7053552948291428,0.6943927458411863,0.10320952356637494,0.20094371833067218,0.39254264045140613,0.2356230462982546,0.28842484259062423,0.05912252537771158,0.5187111504035471,0.8150011507823482,0.8519215148928908,0.8608817915559203,0.7828258712001518,0.8679938617490014
Sample_12,0.47282782190720607,0.47398229844613554,0.4783826710592961,0.4994793646028606,0.5270647486533175,0.4446778291577032,0.5264696985804165,0.5094357181809435,0.49254981335134124,0.48614785695811213,0.9972280663377515,1.0,0.9984648100914126,0.45025348407024246,0.44802144365359997,0.4553827735366228,0.9816410418000252,0.9786971649945768,0.9850706783589013,0.1787644291175113,0.1748776581995361,0.17455168030622792,0.17935318918207374,0.18214142604152794,0.1813033333988696,0.4799895888121279,0.49427203305990597,0.4833877219996305,0.4489152576013847,0.0029981415873194727,0.4541273377247039,0.5047528014111733,0.5254578452778281,0.5328777325161188,0.48403121127296517,0.4923372730240197,0.48438360058886026,0.9031610030485075,0.8923761280553474,0.8891502254924605,0.8907815074865542,0.8817699750420448,0.8806925504935529,0.9067928796934492,0.9050227510705051,0.9183822927221039,0.940211371295452,0.9461963415939912,0.9435618589934738,0.8465040899457356,0.8524293257405304,0.8485515679890189,0.7191851162070464,0.7248638539854997,0.7342973789115727,0.71052033347496,0.6988385401538838,0.6851178045276055,0.699508368375056,0.7080963268126957,0.6958601008147964,0.10583570393226238,0.20585213472431046,0.40333670249709214,0.23932755003892353,0.29727129425949245,0.0608532980759713,0.5179005069001889,0.8167594197680276,0.8562265332567319,0.8656860574261618,0.7853525558913648,0.8800465743688273
Sample_13,0.4477722245076201,0.4489755173907858,0.4533605415446493,0.4738619141145858,0.5031397329188326,0.41926188492012856,0.5032351159646742,0.48579297058900567,0.46862976343427204,0.4620610122453308,0.9988314311703888,0.9984648100914126,1.0,0.426453908970329,0.4240712259501263,0.43187056716152195,0.9756375296686817,0.9729756109565495,0.9844186158197247,0.19569701580369103,0.19170911615650654,0.19145494663664547,0.19726659193914003,0.1999542228086651,0.19910593832494616,0.45690544156695934,0.4719528794232504,0.45996509753950066,0.42413353160764233,0.0026849291683785207,0.4295804521092933,0.4824068242914415,0.5040344461139599,0.5114778224715126,0.45974853866229737,0.46814041394634265,0.4601654977434721,0.9058888740525055,0.8964837879034913,0.893523398815008,0.8928080792741641,0.8848002297924167,0.8835955981576455,0.9036259632314919,0.9021389870438998,0.9139866195490547,0.9321108713295755,0.93810556329562,0.9351947017323832,0.8426336511183943,0.8485588397787989,0.8450427899243592,0.7227809529965016,0.7282387966924578,0.7392876207446147,0.7112817630227184,0.7008412440814442,0.6862363311535394,0.7012882427776418,0.7104780533573292,0.6994318898601767,0.10277983786427883,0.20124307516369067,0.3918947079245119,0.23326050728236447,0.28573718398800496,0.05844752471178489,0.525064944178568,0.8214793369779612,0.8559013127519015,0.865152005177106,0.7880062597241833,0.8755928324323169
Sample_14,0.9953200436569404,0.9947436961983747,0.9945422364157641,0.9851218401129922,0.9872751765958645,0.9797421807263981,0.9814310689729276,0.9826591283155978,0.9857419229273255,0.9858456132298082,0.42835411772040105,0.45025348407024246,0.426453908970329,1.0,0.9990369747852315,0.9997497897611846,0.4738965014503723,0.4678151266932816,0.46604474879940133,0.016913783749750787,0.01505303979926559,0.015152192195868096,0.015653255967985637,0.01632714208233236,0.015765320417360024,0.9668218799305672,0.9637285388552567,0.9708621496648009,0.9763617785100605,0.007989465153003408,0.978460250436308,0.9750480545233927,0.9718523679678787,0.9732065794408302,0.9821480091115186,0.9819417538216378,0.981999208608662,0.3250915053540899,0.3185655106696138,0.32778235528732813,0.35786660912098855,0.35445746851371346,0.36234087561341816,0.35004907177022865,0.35143441533649916,0.4038271878071576,0.34744476957242315,0.37786214170891735,0.36287630291780293,0.42835527947287194,0.4080835613653612,0.41343067269819184,0.4200494621543158,0.42135934490169413,0.376578160779491,0.39494759593821754,0.3622979858576467,0.3784222828794046,0.3873398483128901,0.3768032598496933,0.36283033602483333,0.18490592472914053,0.36026596608612627,0.7781383785351039,0.42229522769562156,0.6272317809236614,0.13593446050573676,0.2878606871854799,0.27402242877267746,0.3921611308018126,0.3750921081866413,0.388631353686878,0.3699255167499318
Sample_15,0.9972995744438891,0.997122266997393,0.9968910768562339,0.9895113425920223,0.9874959224688196,0.9866791197825809,0.9857952119086117,0.9877637649777969,0.990838268569866,0.9911618690849999,0.42574392729614213,0.44802144365359997,0.4240712259501263,0.9990369747852315,1.0,0.9988674351874216,0.47122702185712934,0.4648850170250633,0.463551652742088,0.01717953855941107,0.015326550077396625,0.015424555529812032,0.015994475548422673,0.016608769733198928,0.01607946526034077,0.975919352871873,0.9725082910753123,0.9792349925833235,0.9830478299177354,0.00839276331020884,0.9855952714803529,0.9823142581207228,0.9786193026537134,0.9794920753273806,0.9878660665559779,0.9876192743971035,0.987813563649585,0.322944074639922,0.3165814092854563,0.3259392662346083,0.35635693209781827,0.3530363241351415,0.36095849513178224,0.34810090397479493,0.34957802070626215,0.4022191245920441,0.344142975496177,0.3746605095284408,0.3595150072041309,0.42803693278260607,0.40745506218753436,0.4124897657746667,0.42393044753302206,0.42496673100746807,0.37844579696656444,0.4010946909282594,0.36800555266643475,0.3854488308826123,0.3909026967736008,0.3795333086270779,0.36462160611900857,0.19269057828709782,0.3682573132112977,0.7777129256510278,0.42195154207548957,0.6235349900887719,0.1436079771673795,0.2889662595377663,0.27173213363386073,0.39068382683372216,0.3734407432058941,0.38782448970364314,0.36854502555416235
Sample_16,0.9945196701810176,0.994056299203909,0.9938882272282815,0.9842397245954686,0.9875579079722486,0.9785858572955919,0.9822403555410401,0.9831306737809024,0.9860877712194805,0.9859848613549095,0.4336622546796076,0.4553827735366228,0.43187056716152195,0.9997497897611846,0.9988674351874216,1.0,0.4782997856200113,0.47216097216894937,0.47094442141009024,0.020441195295702153,0.018559754840297638,0.018651853503320194,0.019265751700946458,0.019956236966962776,0.019403439797169065,0.9678118619688701,0.9652994880390321,0.9715512708209609,0.9760489199813684,0.008051712493380892,0.9780485398078373,0.9763425610329619,0.9739564676581878,0.9751457045317232,0.9824492663717025,0.9823926226347182,0.9823672049337251,0.3312605408868124,0.32487218759926095,0.3340811807326335,0.36401951930753823,0.3606973340483857,0.3685326865065389,0.3552876883329357,0.35665536449734225,0.40876812734391016,0.3518566451453877,0.3821704750680572,0.367218310651475,0.4349215657652091,0.4146912848395348,0.42007211535497924,0.4272931205931532,0.42860866273773324,0.38364979314478886,0.40221910328732696,0.3696894356484397,0.385978497010828,0.39503221440209174,0.3843752552967217,0.3703471071674423,0.1909939326833169,0.3668159249783356,0.7854154319633505,0.42988978161309793,0.6334695925334608,0.14153567332901282,0.29301283581773435,0.27967366924972814,0.3971749392886222,0.3801685624711805,0.3936463227646482,0.3747484028009741
Sample_17,0.4984554173627535,0.4995145259651407,0.5040165946855336,0.5257234938060532,0.5556435526087843,0.4700786434954541,0.5471626553481338,0.5306053038273071,0.5146761527562107,0.5084546110674084,0.9790431487836192,0.9816410418000252,0.9756375296686817,0.4738965014503723,0.47122702185712934,0.4782997856200113,1.0,0.9993746206546567,0.991981271565074,0.13435423333868818,0.130809791731208,0.1303616409901628,0.13166560789915685,0.13454705461771774,0.13397249645659468,0.49776106431175293,0.5103608882423123,0.5018537826486787,0.4712543596342413,0.003688253491080355,0.47568230565068664,0.5206835028640594,0.5394643558241754,0.5466786055336976,0.5054725902078359,0.5136054499489996,0.5056876247675034,0.8765838098479806,0.8624988800695201,0.8580205003518855,0.8623436659785757,0.8513973703108899,0.8500456127788117,0.893167847312637,0.8895853110442105,0.9048915424112816,0.947967470671691,0.9548508745258101,0.9520297968365019,0.8428120188831877,0.8498733969963002,0.844612427230639,0.6920280156821065,0.6979064258344388,0.7041215058984974,0.6856567024337584,0.6723463160025294,0.6608037678064155,0.6800704178329571,0.6874514828392037,0.6730535150003862,0.10731253680671303,0.20371651168199134,0.4050813974565722,0.24660287263039019,0.3091742161377347,0.06242521516169295,0.4811305429427071,0.7845017318380901,0.8350253807061476,0.8443530413313202,0.7544695178790545,0.8580600372073542
Sample_18,0.49198877418696474,0.4930275752488489,0.49753991104012396,0.5184946841979922,0.5490112393700942,0.46286376870479057,0.5402847061166647,0.5236434992657487,0.5077202283964855,0.5014787440879951,0.9775166146077349,0.9786971649945768,0.9729756109565495,0.4678151266932816,0.4648850170250633,0.47216097216894937,0.9993746206546567,1.0,0.9915867174555277,0.13099645626234535,0.12733806679180507,0.12688865765648488,0.1275510134393166,0.13065112981084745,0.1299127668074686,0.4903116236654326,0.5029278429471342,0.49436713491560264,0.4638450257850866,0.003605838839436867,0.46827026113759335,0.5133305690939198,0.532114270606268,0.5393323860029327,0.4982010072198927,0.5063387129785978,0.49843373468424773,0.8706072940703939,0.856290809365803,0.8518432724390416,0.8556469413090102,0.8449224372484995,0.8434203428362385,0.8888543288288253,0.8853236111807722,0.900203624387121,0.9450641706982604,0.9523761300508525,0.9491795280131397,0.8386865782792166,0.8456560220757889,0.8405469733657571,0.6861466733487278,0.6922059406611619,0.6982964923041582,0.6801023165140351,0.6667251102541693,0.655301649439493,0.6757597668136105,0.6830540995543206,0.668836327313825,0.10634491762188826,0.200997660077027,0.4005765761848868,0.2455359301455722,0.3069884244614311,0.061905970117999,0.47747213159957025,0.7788599727358141,0.8297070874465029,0.8388567857785287,0.7492719296982543,0.8512169015065928
Sample_19,0.4880562341719322,0.4892420950318694,0.4935675813751252,0.5131547416867456,0.543322252466318,0.45978946870461296,0.5394964170539714,0.522732181548583,0.5066592873351502,0.5002750443309487,0.9871066097268484,0.9850706783589013,0.9844186158197247,0.46604474879940133,0.463551652742088,0.47094442141009024,0.991981271565074,0.9915867174555277,1.0,0.18553206774422132,0.18153582872164328,0.18120993634810129,0.18257219471680614,0.18589003114207636,0.1850458552770469,0.4922862306402459,0.5061218613181546,0.49562507149581575,0.463172470657609,0.0032793318325112964,0.46790384659316014,0.5159827402271473,0.536052616038118,0.543199832516066,0.49745223469422795,0.5054897485750849,0.49779360976351145,0.8855654357169035,0.8748652931961847,0.8723768023342088,0.8719283842989357,0.8638693322165264,0.8630341313392865,0.8915410299191029,0.8894397017837545,0.9032360527179629,0.9262981681688215,0.9352281164260046,0.930769122453339,0.8391127664584355,0.8443858800869484,0.840853039044676,0.7139058411515997,0.7191872665779043,0.7267145171863125,0.7011361205927741,0.6891044437909174,0.6760948906793279,0.6972396478949636,0.7055583545977788,0.6939327158500751,0.10792083129776778,0.2099303533767092,0.4145719467273955,0.24723006264377026,0.30794169153041007,0.06267767750796535,0.5166952517078572,0.7997414616852601,0.8440031086096267,0.8507154064341274,0.7767921199800947,0.8542998654018598
Sample_20,0.020655494883674286,0.022800557565228242,0.023276656153033246,0.015425267803386288,0.029869268110373628,0.010157116191757725,0.06634302308257381,0.056905732473011096,0.050775498807878926,0.046061786712293565,0.19093296532319154,0.1787644291175113,0.19569701580369103,0.016913783749750787,0.01717953855941107,0.020441195295702153,0.13435423333868818,0.13099645626234535,0.18553206774422132,1.0,0.9973316717910903,0.9978314354105915,0.9542056342812925,0.9620993121260362,0.9605935402685276,0.052783390926251145,0.06587163621457227,0.0485763328995351,0.021989886876310066,-0.0034849422477953263,0.026741627856766873,0.061613226057557764,0.0769388750489408,0.0779664319980712,0.03380999945855394,0.03584505243654179,0.0346021738670012,0.31248172428107485,0.33083195096756474,0.3401411484825823,0.30098500622460395,0.3132399317035967,0.31625064938074754,0.2812467353383418,0.2901941393809571,0.2778759745219468,0.1378376698406769,0.1463062956043018,0.13912208418570132,0.23635320598302098,0.23372072720140438,0.23996667559879584,0.42322875544063765,0.41672697833265443,0.43551068005671123,0.4052874748649371,0.42015092455265485,0.3967843346371502,0.37069473603063713,0.3817838586547648,0.3959921324431125,0.045570293894031916,0.08472911825951912,0.11196889667022618,0.08138697219742001,0.05797805205316565,0.03883750716372621,0.36723338054903376,0.36418817803388426,0.3218174741379239,0.31075783730429596,0.39253563237678374,0.25942479099372706
